iter	MultiClass
0	1.098317063
1	1.098103002
2	1.097831067
3	1.09760101
4	1.097463709
5	1.097193184
6	1.097054581
7	1.096766115
8	1.096453411
9	1.09620717
10	1.095986194
11	1.095815237
12	1.095594912
13	1.095350009
14	1.095100727
15	1.094914639
16	1.094719755
17	1.094466596
18	1.094288549
19	1.094111476
20	1.093893918
21	1.093671683
22	1.093475018
23	1.093327264
24	1.093087812
25	1.092921348
26	1.092686651
27	1.092548839
28	1.09241826
29	1.092236805
30	1.092066218
31	1.091841042
32	1.091658678
33	1.091562042
34	1.0913102
35	1.09114678
36	1.091074605
37	1.090793874
38	1.090525614
39	1.090324828
40	1.090090397
41	1.089967544
42	1.089824547
43	1.089689187
44	1.089504762
45	1.089335873
46	1.089076176
47	1.088834084
48	1.088733642
49	1.088633772
50	1.088358531
51	1.088148169
52	1.087910564
53	1.08772767
54	1.087573152
55	1.08744042
56	1.087211091
57	1.086996252
58	1.086849418
59	1.086739293
60	1.086490331
61	1.086268694
62	1.086070508
63	1.085892755
64	1.085669189
65	1.08545981
66	1.085382866
67	1.085211186
68	1.085015899
69	1.084844396
70	1.084633324
71	1.084416038
72	1.084272167
73	1.08402378
74	1.083826836
75	1.083674519
76	1.083545884
77	1.083331342
78	1.08324573
79	1.08314167
80	1.082883877
81	1.082860557
82	1.082680653
83	1.082479011
84	1.082298054
85	1.08229692
86	1.082225207
87	1.082052446
88	1.081918604
89	1.081745566
90	1.08161961
91	1.081449392
92	1.081287073
93	1.081095806
94	1.080923336
95	1.080800744
96	1.080590501
97	1.080390071
98	1.080260122
99	1.080026684
100	1.079971586
101	1.079760079
102	1.079568377
103	1.079441848
104	1.079352096
105	1.079224456
106	1.079031219
107	1.078876471
108	1.078738155
109	1.078650632
110	1.078649636
111	1.078411281
112	1.078207696
113	1.078019935
114	1.077821334
115	1.077631698
116	1.077436881
117	1.07729749
118	1.077144162
119	1.077008903
120	1.076831517
121	1.076706498
122	1.076550077
123	1.076406612
124	1.076295464
125	1.076056864
126	1.075904158
127	1.075762371
128	1.075608182
129	1.075417573
130	1.075212678
131	1.075040165
132	1.074904482
133	1.074697111
134	1.074560877
135	1.074356001
136	1.074225675
137	1.074082644
138	1.07395111
139	1.073755147
140	1.073568882
141	1.073401149
142	1.073278108
143	1.073054817
144	1.072961146
145	1.072824965
146	1.072737644
147	1.0725782
148	1.072434903
149	1.072274147
150	1.072152532
151	1.072059091
152	1.071921263
153	1.071817559
154	1.071660175
155	1.071597606
156	1.071449791
157	1.07132572
158	1.07123387
159	1.071074107
160	1.070932726
161	1.070776074
162	1.070599167
163	1.070405145
164	1.07022717
165	1.070123155
166	1.069990611
167	1.069889407
168	1.069719631
169	1.069505232
170	1.069303261
171	1.069150205
172	1.068942673
173	1.068852238
174	1.068695753
175	1.068546373
176	1.068401876
177	1.0682817
178	1.068083794
179	1.067918229
180	1.067766546
181	1.067633889
182	1.067447971
183	1.067333898
184	1.067122643
185	1.066960459
186	1.066803376
187	1.066636627
188	1.066575439
189	1.066480925
190	1.066301695
191	1.066145328
192	1.066026331
193	1.065864987
194	1.065679039
195	1.065501878
196	1.065357274
197	1.06522169
198	1.065052052
199	1.064918093
200	1.064762264
201	1.064600932
202	1.06445089
203	1.064339142
204	1.064188467
205	1.064009351
206	1.063843606
207	1.063623603
208	1.063489876
209	1.063341173
210	1.063299502
211	1.06316672
212	1.06301964
213	1.062950264
214	1.062767201
215	1.062630017
216	1.062467683
217	1.062319422
218	1.062150165
219	1.062040492
220	1.061836333
221	1.061663218
222	1.061529037
223	1.061411151
224	1.061300824
225	1.061177636
226	1.061024455
227	1.060862967
228	1.060757627
229	1.060567647
230	1.060486258
231	1.060392041
232	1.060274218
233	1.060124546
234	1.060040028
235	1.059911647
236	1.059785374
237	1.059652951
238	1.059524607
239	1.059410571
240	1.059317767
241	1.059223725
242	1.059094393
243	1.058938801
244	1.05880714
245	1.058677059
246	1.058520798
247	1.058386311
248	1.058249902
249	1.05812314
250	1.057930406
251	1.057828536
252	1.057701509
253	1.057603368
254	1.057447115
255	1.057397078
256	1.057321138
257	1.057187626
258	1.0570357
259	1.056904503
260	1.056800887
261	1.056709339
262	1.056587202
263	1.056413569
264	1.056239372
265	1.056106429
266	1.055962107
267	1.055892757
268	1.055776034
269	1.055645453
270	1.055552955
271	1.05531692
272	1.055186803
273	1.055046595
274	1.05491513
275	1.054727999
276	1.054541533
277	1.054452246
278	1.054334882
279	1.054187648
280	1.054030814
281	1.053913693
282	1.053883542
283	1.053743416
284	1.053633866
285	1.053582907
286	1.05348158
287	1.053319077
288	1.053186972
289	1.053031512
290	1.052859388
291	1.052716463
292	1.052542181
293	1.052461192
294	1.052315999
295	1.052103447
296	1.051905398
297	1.051798113
298	1.051678825
299	1.051541059
300	1.051407558
301	1.051292451
302	1.051151289
303	1.051014946
304	1.050897213
305	1.050777902
306	1.050673279
307	1.050576826
308	1.050426487
309	1.050295115
310	1.050172335
311	1.050080254
312	1.049944132
313	1.049829605
314	1.049690045
315	1.049575121
316	1.049483071
317	1.049421183
318	1.049286709
319	1.049124852
320	1.048967497
321	1.048824941
322	1.048720773
323	1.048545981
324	1.04850115
325	1.04834565
326	1.048208687
327	1.048083973
328	1.0479853
329	1.047877332
330	1.047708015
331	1.047611808
332	1.047471661
333	1.047369058
334	1.047234154
335	1.047119548
336	1.047024103
337	1.046879917
338	1.046694875
339	1.046579136
340	1.046489567
341	1.046345223
342	1.046221733
343	1.046121274
344	1.045952692
345	1.045881753
346	1.045777885
347	1.04566892
348	1.045541897
349	1.045463073
350	1.045368159
351	1.045249999
352	1.045214987
353	1.045092149
354	1.044965151
355	1.044871218
356	1.04472636
357	1.044614917
358	1.044536484
359	1.04446018
360	1.04433338
361	1.044215201
362	1.044034988
363	1.043947013
364	1.043796376
365	1.043697266
366	1.04360517
367	1.043510913
368	1.043436256
369	1.043330592
370	1.043227487
371	1.043057244
372	1.042951957
373	1.042797502
374	1.042657854
375	1.042549893
376	1.042377407
377	1.042255561
378	1.042154719
379	1.042069168
380	1.041886967
381	1.041804317
382	1.041747207
383	1.041627571
384	1.041524908
385	1.041380369
386	1.04131752
387	1.041242749
388	1.041139786
389	1.041053306
390	1.040940884
391	1.040815726
392	1.040637926
393	1.040523038
394	1.040385686
395	1.040230939
396	1.04013614
