iter	Passed	Remaining
0	64	64482
1	70	35394
2	77	25694
3	83	20804
4	89	17744
5	95	15818
6	101	14388
7	107	13286
8	113	12525
9	119	11826
10	124	11234
11	131	10850
12	138	10531
13	145	10226
14	151	9923
15	156	9634
16	164	9488
17	171	9361
18	178	9235
19	189	9263
20	206	9638
21	271	12090
22	335	14270
23	372	15142
24	386	15081
25	401	15036
26	416	14992
27	439	15265
28	479	16067
29	496	16040
30	519	16237
31	576	17450
32	591	17319
33	601	17088
34	612	16881
35	621	16650
36	630	16413
37	639	16199
38	649	15996
39	657	15784
40	666	15592
41	673	15368
42	681	15171
43	691	15023
44	700	14859
45	709	14716
46	717	14555
47	724	14377
48	731	14203
49	739	14051
50	746	13899
51	754	13763
52	763	13633
53	771	13507
54	779	13393
55	789	13311
56	798	13213
57	807	13113
58	816	13016
59	825	12932
60	834	12841
61	843	12755
62	853	12701
63	863	12625
64	872	12554
65	881	12476
66	890	12405
67	899	12328
68	908	12252
69	916	12173
70	924	12099
71	931	12010
72	938	11915
73	945	11830
74	952	11747
75	960	11676
76	968	11612
77	976	11540
78	984	11474
79	991	11403
80	999	11344
81	1005	11257
82	1013	11200
83	1021	11138
84	1029	11082
85	1035	11006
86	1043	10948
87	1051	10899
88	1059	10845
89	1067	10796
90	1076	10750
91	1084	10701
92	1093	10664
93	1106	10666
94	1120	10670
95	1132	10664
96	1146	10669
97	1158	10666
98	1169	10641
99	1178	10607
100	1188	10577
101	1196	10533
102	1206	10505
103	1214	10459
104	1219	10397
105	1226	10344
106	1235	10315
107	1243	10274
108	1252	10238
109	1260	10195
110	1265	10133
111	1273	10098
112	1281	10061
113	1291	10034
114	1299	10002
115	1307	9963
116	1315	9930
117	1323	9891
118	1331	9855
119	1339	9825
120	1348	9799
121	1356	9763
122	1364	9731
123	1372	9699
124	1381	9669
125	1389	9637
126	1398	9615
127	1408	9598
128	1418	9580
129	1428	9558
130	1436	9528
131	1443	9493
132	1451	9460
133	1459	9432
134	1466	9397
135	1473	9362
136	1481	9330
137	1487	9293
138	1494	9255
139	1499	9213
140	1506	9176
141	1512	9141
142	1519	9108
143	1528	9088
144	1536	9057
145	1542	9023
146	1549	8991
147	1556	8958
148	1562	8924
149	1569	8895
150	1575	8860
151	1583	8833
152	1590	8803
153	1596	8772
154	1604	8744
155	1610	8713
156	1617	8685
157	1625	8664
158	1637	8661
159	1671	8773
160	1683	8772
161	1697	8779
162	1707	8766
163	1716	8748
164	1725	8732
165	1732	8706
166	1739	8676
167	1745	8644
168	1751	8614
169	1757	8583
170	1764	8554
171	1770	8522
172	1776	8491
173	1782	8462
174	1789	8437
175	1796	8412
176	1803	8384
177	1809	8357
178	1817	8336
179	1825	8316
180	1833	8294
181	1841	8275
182	1856	8286
183	1868	8284
184	1882	8294
185	1891	8278
186	1906	8290
187	1914	8269
188	1921	8243
189	1928	8220
190	1934	8195
191	1941	8171
192	1948	8146
193	1955	8125
194	1962	8100
195	1972	8092
196	1981	8076
197	1990	8064
198	1999	8047
199	2008	8034
200	2016	8017
201	2025	8001
202	2033	7984
203	2041	7967
204	2053	7962
205	2063	7952
206	2072	7937
207	2081	7925
208	2093	7923
209	2105	7919
210	2116	7912
211	2125	7899
212	2133	7882
213	2141	7866
214	2149	7849
215	2157	7831
216	2164	7811
217	2172	7791
218	2179	7772
219	2187	7754
220	2195	7737
221	2202	7717
222	2208	7696
223	2215	7676
224	2223	7659
225	2231	7644
226	2239	7627
227	2247	7609
228	2256	7598
229	2264	7581
230	2273	7567
231	2281	7552
232	2289	7536
233	2299	7527
234	2307	7513
235	2316	7499
236	2323	7481
237	2331	7464
238	2339	7449
239	2347	7433
240	2355	7418
241	2364	7407
242	2374	7396
243	2381	7380
244	2389	7364
245	2398	7350
246	2406	7336
247	2414	7322
248	2423	7309
249	2432	7296
250	2439	7279
251	2446	7262
252	2453	7245
253	2460	7226
254	2466	7207
255	2472	7186
256	2478	7165
257	2484	7146
258	2491	7128
259	2497	7108
260	2503	7089
261	2510	7072
262	2517	7055
263	2524	7038
264	2531	7022
265	2540	7009
266	2546	6991
267	2554	6976
268	2560	6958
269	2566	6940
270	2574	6924
271	2582	6913
272	2590	6899
273	2597	6883
274	2606	6871
275	2614	6859
276	2625	6853
277	2633	6839
278	2640	6823
279	2648	6809
280	2655	6793
281	2663	6782
282	2671	6769
283	2679	6756
284	2686	6740
285	2694	6726
286	2701	6710
287	2708	6696
288	2716	6684
289	2724	6671
290	2732	6657
291	2740	6644
292	2747	6630
293	2755	6617
294	2763	6604
295	2771	6591
296	2779	6578
297	2787	6566
298	2794	6550
299	2800	6535
300	2807	6519
301	2813	6503
302	2820	6487
303	2826	6471
304	2833	6457
305	2840	6441
306	2846	6426
307	2853	6410
308	2859	6395
309	2866	6380
310	2873	6365
311	2879	6349
312	2885	6334
313	2892	6319
314	2898	6304
315	2905	6289
316	2912	6274
317	2919	6260
318	2925	6246
319	2932	6232
320	2940	6219
321	2947	6205
322	2954	6191
323	2960	6177
324	2968	6164
325	2975	6150
326	2982	6137
327	2989	6124
328	2996	6110
329	3002	6096
330	3009	6082
331	3015	6067
332	3021	6051
333	3027	6037
334	3034	6023
335	3040	6008
336	3046	5993
337	3052	5978
338	3059	5965
339	3066	5952
340	3072	5938
341	3079	5924
342	3086	5911
343	3093	5898
344	3100	5886
345	3106	5872
346	3113	5858
347	3120	5845
348	3128	5835
349	3136	5824
350	3144	5814
351	3152	5803
352	3159	5790
353	3167	5779
354	3174	5768
355	3181	5755
356	3193	5751
357	3201	5742
358	3212	5735
359	3220	5724
360	3230	5717
361	3239	5709
362	3247	5699
363	3256	5690
364	3266	5682
365	3276	5675
366	3285	5667
367	3296	5662
368	3308	5656
369	3317	5649
370	3328	5643
371	3340	5639
372	3348	5628
373	3357	5619
374	3365	5609
375	3375	5602
376	3469	5733
377	3494	5749
378	3501	5737
379	3508	5724
380	3515	5711
381	3522	5698
382	3529	5685
383	3535	5672
384	3542	5658
385	3549	5645
386	3555	5632
387	3562	5619
388	3569	5606
389	3576	5594
390	3583	5581
391	3590	5569
392	3598	5557
393	3610	5553
394	3628	5556
395	3638	5550
396	3647	5540
397	3655	5529
398	3665	5520
399	3673	5510
400	3694	5519
401	3709	5518
402	3718	5508
403	3727	5498
404	3734	5486
405	3743	5477
406	3752	5467
407	3761	5457
408	3769	5446
409	3778	5437
410	3787	5428
411	3799	5422
412	3808	5413
413	3818	5405
414	3827	5394
415	3836	5386
416	3844	5375
417	3853	5365
418	3862	5356
419	3873	5348
420	3883	5340
421	3892	5330
422	3901	5321
423	3908	5310
424	3916	5298
425	3923	5286
426	3931	5275
427	3939	5265
428	3948	5256
429	3956	5244
430	3963	5232
431	3969	5218
432	3975	5205
433	3982	5193
434	3988	5179
435	3995	5169
436	4004	5158
437	4012	5148
438	4019	5136
439	4026	5124
440	4032	5111
441	4040	5100
442	4046	5087
443	4053	5075
444	4059	5063
445	4066	5051
446	4074	5040
447	4082	5030
448	4090	5019
449	4098	5008
450	4104	4996
451	4113	4986
452	4123	4979
453	4133	4970
454	4141	4960
455	4154	4956
456	4163	4947
457	4171	4937
458	4180	4927
459	4190	4919
460	4202	4913
461	4213	4906
462	4221	4896
463	4231	4887
464	4239	4877
465	4248	4868
466	4255	4857
467	4274	4859
468	4290	4857
469	4300	4849
470	4312	4843
471	4321	4834
472	4333	4828
473	4342	4819
474	4350	4808
475	4361	4801
476	4370	4791
477	4377	4780
478	4386	4770
479	4393	4759
480	4400	4747
481	4409	4738
482	4417	4728
483	4425	4718
484	4433	4707
485	4439	4695
486	4447	4684
487	4455	4674
488	4465	4666
489	4474	4657
490	4484	4648
491	4493	4639
492	4502	4630
493	4513	4622
494	4523	4614
495	4533	4606
496	4543	4598
497	4552	4588
498	4561	4580
499	4572	4572
500	4585	4567
501	4596	4560
502	4608	4553
503	4617	4544
504	4627	4535
505	4638	4528
506	4646	4518
507	4655	4509
508	4663	4498
509	4670	4487
510	4678	4477
511	4686	4466
512	4693	4456
513	4701	4445
514	4708	4434
515	4715	4422
516	4722	4411
517	4729	4400
518	4736	4390
519	4745	4380
520	4753	4370
521	4761	4360
522	4769	4350
523	4778	4341
524	4786	4330
525	4793	4319
526	4801	4309
527	4808	4298
528	4815	4287
529	4822	4276
530	4831	4267
531	4840	4257
532	4847	4247
533	4859	4240
534	4869	4232
535	4880	4225
536	4889	4215
537	4899	4207
538	4909	4198
539	4921	4192
540	4928	4181
541	4936	4171
542	4944	4161
543	4951	4150
544	4958	4139
545	4965	4128
546	4972	4117
547	4979	4107
548	4986	4096
549	4993	4085
550	5001	4075
551	5009	4065
552	5017	4056
553	5025	4045
554	5033	4035
555	5041	4025
556	5048	4015
557	5057	4005
558	5066	3996
559	5074	3986
560	5082	3977
561	5089	3966
562	5097	3956
563	5106	3947
